Class,Description
A01G5/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae floral handling
A01G7/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae botany general
A01G9/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae receptacles forcingframes greenhouses mushrooms soilless edging beds lawn
A01G11/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae sterilising soil steam
A01G13/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae protecting plants apparatus destruction vermin noxious animals use chemical materials therefor composition protective eg grafting wax
A01G15/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae devices methods influencing weather conditions
A01G17/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae trees
A01G18/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae mushrooms
A01G20/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae turf lawn apparatus methods therefor handheld edge trimmers shears edging lawnmowers
A01G21/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae devices hangingup harvested
A01G22/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae specific crops plants otherwise provided
A01G23/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae
A01G24/00,human necessities agriculture  forestry animal husbandry hunting trapping fishing horticulture cultivation of vegetables flowers rice fruit vines hops or seaweed watering picking fruits like propagating unicellular algae growth substrates culture media apparatus methods therefor mushrooms
